State,Year,Quater,Pincodes,Registered_Users
Chhattisgarh,2019,3,497001,60207
Chhattisgarh,2019,3,491001,53426
Chhattisgarh,2019,3,496005,45607
Chhattisgarh,2019,3,491441,45344
Chhattisgarh,2019,3,490023,43443
Chhattisgarh,2019,3,492009,41984
Chhattisgarh,2019,3,490006,38436
Chhattisgarh,2019,3,495450,35125
Chhattisgarh,2019,4,492001,126984
Chhattisgarh,2019,4,495001,101245
Chhattisgarh,2019,4,497001,67647
Chhattisgarh,2019,4,491001,59454
Chhattisgarh,2019,4,491441,50228
Chhattisgarh,2019,4,496005,49927
Chhattisgarh,2019,4,490023,47785
Chhattisgarh,2019,4,492009,46345
Chhattisgarh,2019,4,490006,42008
Chhattisgarh,2019,4,495450,38901
Chhattisgarh,2020,1,492001,140048
Chhattisgarh,2020,1,495001,110715
Chhattisgarh,2020,1,497001,74566
Chhattisgarh,2020,1,491001,65631
Chhattisgarh,2020,1,491441,55399
Chhattisgarh,2020,1,496005,54386
Chhattisgarh,2020,1,490023,52266
Chhattisgarh,2020,1,492009,51146
Chhattisgarh,2020,1,490006,45425
Chhattisgarh,2020,1,495450,42930
Chhattisgarh,2020,2,492001,151787
Chhattisgarh,2020,2,495001,120117
Chhattisgarh,2020,2,497001,83017
Chhattisgarh,2020,2,491001,72228
Chhattisgarh,2020,2,491441,62172
Chhattisgarh,2020,2,496005,59452
Chhattisgarh,2020,2,490023,56411
Chhattisgarh,2020,2,492009,55679
Chhattisgarh,2020,2,490006,48734
Chhattisgarh,2020,2,495450,47509
Chhattisgarh,2020,3,492001,164803
Chhattisgarh,2020,3,495001,131279
Chhattisgarh,2020,3,497001,92438
Chhattisgarh,2020,3,491001,79505
Chhattisgarh,2020,3,491441,69637
Chhattisgarh,2020,3,496005,65408
Chhattisgarh,2020,3,490023,61657
Chhattisgarh,2020,3,492009,60889
Chhattisgarh,2020,3,490006,52709
Chhattisgarh,2020,3,495450,52395
Chhattisgarh,2020,4,492001,178877
Chhattisgarh,2020,4,495001,143559
Chhattisgarh,2020,4,497001,101713
Chhattisgarh,2020,4,491001,87076
Chhattisgarh,2020,4,491441,77139
Chhattisgarh,2020,4,496005,71047
Chhattisgarh,2020,4,490023,67026
Chhattisgarh,2020,4,492009,66591
Chhattisgarh,2020,4,495450,57457
Chhattisgarh,2020,4,490006,57129
Chhattisgarh,2021,1,492001,192280
Chhattisgarh,2021,1,495001,154709
Chhattisgarh,2021,1,497001,109875
Chhattisgarh,2021,1,491001,93667
Chhattisgarh,2021,1,491441,83189
Chhattisgarh,2021,1,496005,76306
Chhattisgarh,2021,1,490023,71859
Chhattisgarh,2021,1,492009,71684
Chhattisgarh,2021,1,495450,61932
Chhattisgarh,2021,1,494001,61107
Chhattisgarh,2021,2,492001,205399
Chhattisgarh,2021,2,495001,165049
Chhattisgarh,2021,2,497001,117695
Chhattisgarh,2021,2,491001,99908
Chhattisgarh,2021,2,491441,88935
Chhattisgarh,2021,2,496005,81517
Chhattisgarh,2021,2,492009,76560
Chhattisgarh,2021,2,490023,76521
Chhattisgarh,2021,2,495450,66184
Chhattisgarh,2021,2,494001,65456
Chhattisgarh,2021,3,492001,219691
Chhattisgarh,2021,3,495001,176348
Chhattisgarh,2021,3,497001,126575
Chhattisgarh,2021,3,491001,106903
Chhattisgarh,2021,3,491441,95381
Chhattisgarh,2021,3,496005,87358
Chhattisgarh,2021,3,492009,81992
Chhattisgarh,2021,3,490023,81694
Chhattisgarh,2021,3,495450,70959
Chhattisgarh,2021,3,494001,70221
Chhattisgarh,2021,4,492001,234198
Chhattisgarh,2021,4,495001,187901
Chhattisgarh,2021,4,497001,135215
Chhattisgarh,2021,4,491001,113772
Chhattisgarh,2021,4,491441,101670
Chhattisgarh,2021,4,496005,93194
Chhattisgarh,2021,4,492009,87424
Chhattisgarh,2021,4,490023,86886
Chhattisgarh,2021,4,495450,75706
Chhattisgarh,2021,4,494001,74989
Chhattisgarh,2022,1,492001,247599
Chhattisgarh,2022,1,495001,198702
Chhattisgarh,2022,1,497001,143644
Chhattisgarh,2022,1,491001,120368
Chhattisgarh,2022,1,491441,107760
Chhattisgarh,2022,1,496005,98838
Chhattisgarh,2022,1,492009,92386
Chhattisgarh,2022,1,490023,91792
Chhattisgarh,2022,1,495450,80200
Chhattisgarh,2022,1,494001,79440
Chhattisgarh,2022,2,492001,260351
Chhattisgarh,2022,2,495001,209069
Chhattisgarh,2022,2,497001,151503
Chhattisgarh,2022,2,491001,126583
Chhattisgarh,2022,2,491441,113505
Chhattisgarh,2022,2,496005,104122
Chhattisgarh,2022,2,492009,97149
Chhattisgarh,2022,2,490023,96605
Chhattisgarh,2022,2,495450,84459
Chhattisgarh,2022,2,494001,83653
Chhattisgarh,2022,3,492001,273586
Chhattisgarh,2022,3,495001,219881
Chhattisgarh,2022,3,497001,159641
Chhattisgarh,2022,3,491001,133077
Chhattisgarh,2022,3,491441,119363
Chhattisgarh,2022,3,496005,109817
Chhattisgarh,2022,3,492009,102118
Chhattisgarh,2022,3,490023,101541
Chhattisgarh,2022,3,495450,88925
Chhattisgarh,2022,3,494001,88104
Chhattisgarh,2022,4,492001,286884
Chhattisgarh,2022,4,495001,230659
Chhattisgarh,2022,4,497001,167148
Chhattisgarh,2022,4,491001,139295
Chhattisgarh,2022,4,491441,124619
Chhattisgarh,2022,4,496005,115217
Chhattisgarh,2022,4,492009,107033
Chhattisgarh,2022,4,490023,106532
Chhattisgarh,2022,4,495450,93326
Chhattisgarh,2022,4,494001,92244
Chhattisgarh,2023,1,492001,299741
Chhattisgarh,2023,1,495001,241101
Chhattisgarh,2023,1,497001,175004
Chhattisgarh,2023,1,491001,145556
Chhattisgarh,2023,1,491441,130250
Chhattisgarh,2023,1,496005,120618
Chhattisgarh,2023,1,492009,111857
Chhattisgarh,2023,1,490023,111318
Chhattisgarh,2023,1,495450,97597
Chhattisgarh,2023,1,494001,96517
Chhattisgarh,2023,2,492001,310425
Chhattisgarh,2023,2,495001,249785
Chhattisgarh,2023,2,497001,182451
Chhattisgarh,2023,2,491001,151138
Chhattisgarh,2023,2,491441,135501
Chhattisgarh,2023,2,496005,125306
Chhattisgarh,2023,2,492009,115855
Chhattisgarh,2023,2,490023,115541
Chhattisgarh,2023,2,495450,101392
Chhattisgarh,2023,2,494001,100315
Chhattisgarh,2023,3,492001,322356
Chhattisgarh,2023,3,495001,259634
Chhattisgarh,2023,3,497001,189873
Chhattisgarh,2023,3,491001,157089
Chhattisgarh,2023,3,491441,140800
Chhattisgarh,2023,3,496005,130435
Chhattisgarh,2023,3,492009,120315
Chhattisgarh,2023,3,490023,119960
Chhattisgarh,2023,3,495450,105476
Chhattisgarh,2023,3,494001,104414
Chhattisgarh,2023,4,492001,332868
Chhattisgarh,2023,4,495001,268341
Chhattisgarh,2023,4,497001,196463
Chhattisgarh,2023,4,491001,162406
Chhattisgarh,2023,4,491441,145795
Chhattisgarh,2023,4,496005,134929
Chhattisgarh,2023,4,492009,124316
Chhattisgarh,2023,4,490023,124113
Chhattisgarh,2023,4,495450,109138
Chhattisgarh,2023,4,494001,107925
Dadra & Nagar Haveli & Daman & Diu,2018,1,396230,26888
Dadra & Nagar Haveli & Daman & Diu,2018,1,396210,12153
Dadra & Nagar Haveli & Daman & Diu,2018,1,396215,6390
Dadra & Nagar Haveli & Daman & Diu,2018,1,396235,5140
Dadra & Nagar Haveli & Daman & Diu,2018,1,362520,1330
Dadra & Nagar Haveli & Daman & Diu,2018,1,362571,767
Dadra & Nagar Haveli & Daman & Diu,2018,1,362540,365
Dadra & Nagar Haveli & Daman & Diu,2018,1,396220,134
Dadra & Nagar Haveli & Daman & Diu,2018,1,362570,91
Dadra & Nagar Haveli & Daman & Diu,2018,2,396230,36053
Dadra & Nagar Haveli & Daman & Diu,2018,2,396210,16275
Dadra & Nagar Haveli & Daman & Diu,2018,2,396215,8687
Dadra & Nagar Haveli & Daman & Diu,2018,2,396235,7032
Dadra & Nagar Haveli & Daman & Diu,2018,2,362520,1728
Dadra & Nagar Haveli & Daman & Diu,2018,2,362571,930
Dadra & Nagar Haveli & Daman & Diu,2018,2,362540,463
Dadra & Nagar Haveli & Daman & Diu,2018,2,396220,182
Dadra & Nagar Haveli & Daman & Diu,2018,2,362570,108
Dadra & Nagar Haveli & Daman & Diu,2018,3,396230,46381
Dadra & Nagar Haveli & Daman & Diu,2018,3,396210,20999
Dadra & Nagar Haveli & Daman & Diu,2018,3,396215,11408
Dadra & Nagar Haveli & Daman & Diu,2018,3,396235,9245
Dadra & Nagar Haveli & Daman & Diu,2018,3,362520,2056
Dadra & Nagar Haveli & Daman & Diu,2018,3,362571,1076
Dadra & Nagar Haveli & Daman & Diu,2018,3,362540,573
Dadra & Nagar Haveli & Daman & Diu,2018,3,396220,244
Dadra & Nagar Haveli & Daman & Diu,2018,3,362570,125
Dadra & Nagar Haveli & Daman & Diu,2018,4,396230,58055
Dadra & Nagar Haveli & Daman & Diu,2018,4,396210,27039
Dadra & Nagar Haveli & Daman & Diu,2018,4,396215,14722
Dadra & Nagar Haveli & Daman & Diu,2018,4,396235,11778
Dadra & Nagar Haveli & Daman & Diu,2018,4,362520,2456
Dadra & Nagar Haveli & Daman & Diu,2018,4,362571,1336
Dadra & Nagar Haveli & Daman & Diu,2018,4,362540,686
Dadra & Nagar Haveli & Daman & Diu,2018,4,396220,308
Dadra & Nagar Haveli & Daman & Diu,2018,4,362570,131
Dadra & Nagar Haveli & Daman & Diu,2019,1,396230,69568
Dadra & Nagar Haveli & Daman & Diu,2019,1,396210,32703
Dadra & Nagar Haveli & Daman & Diu,2019,1,396215,18018
Dadra & Nagar Haveli & Daman & Diu,2019,1,396235,14419
Dadra & Nagar Haveli & Daman & Diu,2019,1,362520,2879
Dadra & Nagar Haveli & Daman & Diu,2019,1,362571,1582
Dadra & Nagar Haveli & Daman & Diu,2019,1,362540,842
Dadra & Nagar Haveli & Daman & Diu,2019,1,396220,372
Dadra & Nagar Haveli & Daman & Diu,2019,1,362570,149
Dadra & Nagar Haveli & Daman & Diu,2019,2,396230,78132
Dadra & Nagar Haveli & Daman & Diu,2019,2,396210,37160
Dadra & Nagar Haveli & Daman & Diu,2019,2,396215,20428
Dadra & Nagar Haveli & Daman & Diu,2019,2,396235,16250
Dadra & Nagar Haveli & Daman & Diu,2019,2,362520,3291
Dadra & Nagar Haveli & Daman & Diu,2019,2,362571,1785
Dadra & Nagar Haveli & Daman & Diu,2019,2,362540,947
Dadra & Nagar Haveli & Daman & Diu,2019,2,396220,417
Dadra & Nagar Haveli & Daman & Diu,2019,2,362570,170
Dadra & Nagar Haveli & Daman & Diu,2019,3,396230,87039
Dadra & Nagar Haveli & Daman & Diu,2019,3,396210,41395
Dadra & Nagar Haveli & Daman & Diu,2019,3,396215,22996
Dadra & Nagar Haveli & Daman & Diu,2019,3,396235,18290
Dadra & Nagar Haveli & Daman & Diu,2019,3,362520,3618
Dadra & Nagar Haveli & Daman & Diu,2019,3,362571,1908
Dadra & Nagar Haveli & Daman & Diu,2019,3,362540,1044
Dadra & Nagar Haveli & Daman & Diu,2019,3,396220,463
Dadra & Nagar Haveli & Daman & Diu,2019,3,362570,176
Dadra & Nagar Haveli & Daman & Diu,2019,4,396230,97116
Dadra & Nagar Haveli & Daman & Diu,2019,4,396210,46041
Dadra & Nagar Haveli & Daman & Diu,2019,4,396215,25932
Dadra & Nagar Haveli & Daman & Diu,2019,4,396235,20689
Dadra & Nagar Haveli & Daman & Diu,2019,4,362520,3953
Dadra & Nagar Haveli & Daman & Diu,2019,4,362571,2041
Dadra & Nagar Haveli & Daman & Diu,2019,4,362540,1138
Dadra & Nagar Haveli & Daman & Diu,2019,4,396220,497
Dadra & Nagar Haveli & Daman & Diu,2019,4,362570,191
Dadra & Nagar Haveli & Daman & Diu,2020,1,396230,107112
Dadra & Nagar Haveli & Daman & Diu,2020,1,396210,50829
Dadra & Nagar Haveli & Daman & Diu,2020,1,396215,28959
Dadra & Nagar Haveli & Daman & Diu,2020,1,396235,23143
Dadra & Nagar Haveli & Daman & Diu,2020,1,362520,4269
Dadra & Nagar Haveli & Daman & Diu,2020,1,362571,2223
Dadra & Nagar Haveli & Daman & Diu,2020,1,362540,1217
Dadra & Nagar Haveli & Daman & Diu,2020,1,396220,541
Dadra & Nagar Haveli & Daman & Diu,2020,1,362570,203
Dadra & Nagar Haveli & Daman & Diu,2020,2,396230,119858
Dadra & Nagar Haveli & Daman & Diu,2020,2,396210,56796
Dadra & Nagar Haveli & Daman & Diu,2020,2,396215,32569
Dadra & Nagar Haveli & Daman & Diu,2020,2,396235,26145
Dadra & Nagar Haveli & Daman & Diu,2020,2,362520,4635
Dadra & Nagar Haveli & Daman & Diu,2020,2,362571,2541
Dadra & Nagar Haveli & Daman & Diu,2020,2,362540,1398
Dadra & Nagar Haveli & Daman & Diu,2020,2,396220,651
Dadra & Nagar Haveli & Daman & Diu,2020,2,362570,221
Dadra & Nagar Haveli & Daman & Diu,2020,3,396230,131460
Dadra & Nagar Haveli & Daman & Diu,2020,3,396210,61967
Dadra & Nagar Haveli & Daman & Diu,2020,3,396215,35428
Dadra & Nagar Haveli & Daman & Diu,2020,3,396235,28723
Dadra & Nagar Haveli & Daman & Diu,2020,3,362520,5010
Dadra & Nagar Haveli & Daman & Diu,2020,3,362571,2821
Dadra & Nagar Haveli & Daman & Diu,2020,3,362540,1581
Dadra & Nagar Haveli & Daman & Diu,2020,3,396220,713
Dadra & Nagar Haveli & Daman & Diu,2020,3,362570,243
Dadra & Nagar Haveli & Daman & Diu,2020,4,396230,145541
Dadra & Nagar Haveli & Daman & Diu,2020,4,396210,68594
Dadra & Nagar Haveli & Daman & Diu,2020,4,396215,39109
Dadra & Nagar Haveli & Daman & Diu,2020,4,396235,31891
Dadra & Nagar Haveli & Daman & Diu,2020,4,362520,5447
Dadra & Nagar Haveli & Daman & Diu,2020,4,362571,3079
Dadra & Nagar Haveli & Daman & Diu,2020,4,362540,1750
Dadra & Nagar Haveli & Daman & Diu,2020,4,396220,808
Dadra & Nagar Haveli & Daman & Diu,2020,4,362570,274
Dadra & Nagar Haveli & Daman & Diu,2021,1,396230,157679
Dadra & Nagar Haveli & Daman & Diu,2021,1,396210,74340
Dadra & Nagar Haveli & Daman & Diu,2021,1,396215,42510
Dadra & Nagar Haveli & Daman & Diu,2021,1,396235,34583
Dadra & Nagar Haveli & Daman & Diu,2021,1,362520,5885
Dadra & Nagar Haveli & Daman & Diu,2021,1,362571,3337
Dadra & Nagar Haveli & Daman & Diu,2021,1,362540,1890
Dadra & Nagar Haveli & Daman & Diu,2021,1,396220,878
Dadra & Nagar Haveli & Daman & Diu,2021,1,362570,294
Dadra & Nagar Haveli & Daman & Diu,2021,2,396230,169433
Dadra & Nagar Haveli & Daman & Diu,2021,2,396210,79673
Dadra & Nagar Haveli & Daman & Diu,2021,2,396215,45646
Dadra & Nagar Haveli & Daman & Diu,2021,2,396235,37083
Dadra & Nagar Haveli & Daman & Diu,2021,2,362520,6307
Dadra & Nagar Haveli & Daman & Diu,2021,2,362571,3577
Dadra & Nagar Haveli & Daman & Diu,2021,2,362540,2027
Dadra & Nagar Haveli & Daman & Diu,2021,2,396220,939
Dadra & Nagar Haveli & Daman & Diu,2021,2,362570,309
Dadra & Nagar Haveli & Daman & Diu,2021,3,396230,182708
Dadra & Nagar Haveli & Daman & Diu,2021,3,396210,85704
Dadra & Nagar Haveli & Daman & Diu,2021,3,396215,49261
Dadra & Nagar Haveli & Daman & Diu,2021,3,396235,40023
Dadra & Nagar Haveli & Daman & Diu,2021,3,362520,6787
Dadra & Nagar Haveli & Daman & Diu,2021,3,362571,3850
Dadra & Nagar Haveli & Daman & Diu,2021,3,362540,2189
Dadra & Nagar Haveli & Daman & Diu,2021,3,396220,1011
Dadra & Nagar Haveli & Daman & Diu,2021,3,362570,341
Dadra & Nagar Haveli & Daman & Diu,2021,4,396230,196135
Dadra & Nagar Haveli & Daman & Diu,2021,4,396210,91807
Dadra & Nagar Haveli & Daman & Diu,2021,4,396215,52915
Dadra & Nagar Haveli & Daman & Diu,2021,4,396235,42975
Dadra & Nagar Haveli & Daman & Diu,2021,4,362520,7231
Dadra & Nagar Haveli & Daman & Diu,2021,4,362571,4107
Dadra & Nagar Haveli & Daman & Diu,2021,4,362540,2349
Dadra & Nagar Haveli & Daman & Diu,2021,4,396220,1084
Dadra & Nagar Haveli & Daman & Diu,2021,4,362570,360
Dadra & Nagar Haveli & Daman & Diu,2022,1,396230,208830
Dadra & Nagar Haveli & Daman & Diu,2022,1,396210,97488
Dadra & Nagar Haveli & Daman & Diu,2022,1,396215,56396
Dadra & Nagar Haveli & Daman & Diu,2022,1,396235,45747
Dadra & Nagar Haveli & Daman & Diu,2022,1,362520,7714
Dadra & Nagar Haveli & Daman & Diu,2022,1,362571,4360
Dadra & Nagar Haveli & Daman & Diu,2022,1,362540,2504
Dadra & Nagar Haveli & Daman & Diu,2022,1,396220,1145
Dadra & Nagar Haveli & Daman & Diu,2022,1,362570,386
Dadra & Nagar Haveli & Daman & Diu,2022,2,396230,220980
Dadra & Nagar Haveli & Daman & Diu,2022,2,396210,103014
Dadra & Nagar Haveli & Daman & Diu,2022,2,396215,59641
Dadra & Nagar Haveli & Daman & Diu,2022,2,396235,48364
Dadra & Nagar Haveli & Daman & Diu,2022,2,362520,8149
Dadra & Nagar Haveli & Daman & Diu,2022,2,362571,4611
Dadra & Nagar Haveli & Daman & Diu,2022,2,362540,2642
Dadra & Nagar Haveli & Daman & Diu,2022,2,396220,1206
Dadra & Nagar Haveli & Daman & Diu,2022,2,362570,409
Dadra & Nagar Haveli & Daman & Diu,2022,3,396230,233674
Dadra & Nagar Haveli & Daman & Diu,2022,3,396210,108872
Dadra & Nagar Haveli & Daman & Diu,2022,3,396215,63078
Dadra & Nagar Haveli & Daman & Diu,2022,3,396235,51249
Dadra & Nagar Haveli & Daman & Diu,2022,3,362520,8564
Dadra & Nagar Haveli & Daman & Diu,2022,3,362571,4883
Dadra & Nagar Haveli & Daman & Diu,2022,3,362540,2790
Dadra & Nagar Haveli & Daman & Diu,2022,3,396220,1269
Dadra & Nagar Haveli & Daman & Diu,2022,3,362570,428
Dadra & Nagar Haveli & Daman & Diu,2022,4,396230,246264
Dadra & Nagar Haveli & Daman & Diu,2022,4,396210,114561
Dadra & Nagar Haveli & Daman & Diu,2022,4,396215,66595
Dadra & Nagar Haveli & Daman & Diu,2022,4,396235,53953
Dadra & Nagar Haveli & Daman & Diu,2022,4,362520,8942
Dadra & Nagar Haveli & Daman & Diu,2022,4,362571,5114
Dadra & Nagar Haveli & Daman & Diu,2022,4,362540,2925
Dadra & Nagar Haveli & Daman & Diu,2022,4,396220,1325
Dadra & Nagar Haveli & Daman & Diu,2022,4,362570,446
Dadra & Nagar Haveli & Daman & Diu,2023,1,396230,258320
Dadra & Nagar Haveli & Daman & Diu,2023,1,396210,120136
Dadra & Nagar Haveli & Daman & Diu,2023,1,396215,69913
Dadra & Nagar Haveli & Daman & Diu,2023,1,396235,56631
Dadra & Nagar Haveli & Daman & Diu,2023,1,362520,9335
Dadra & Nagar Haveli & Daman & Diu,2023,1,362571,5384
Dadra & Nagar Haveli & Daman & Diu,2023,1,362540,3057
Dadra & Nagar Haveli & Daman & Diu,2023,1,396220,1383
Dadra & Nagar Haveli & Daman & Diu,2023,1,362570,458
Dadra & Nagar Haveli & Daman & Diu,2023,2,396230,269152
Dadra & Nagar Haveli & Daman & Diu,2023,2,396210,124984
Dadra & Nagar Haveli & Daman & Diu,2023,2,396215,72836
Dadra & Nagar Haveli & Daman & Diu,2023,2,396235,58973
Dadra & Nagar Haveli & Daman & Diu,2023,2,362520,9700
Dadra & Nagar Haveli & Daman & Diu,2023,2,362571,5612
Dadra & Nagar Haveli & Daman & Diu,2023,2,362540,3177
Dadra & Nagar Haveli & Daman & Diu,2023,2,396220,1447
Dadra & Nagar Haveli & Daman & Diu,2023,2,362570,483
Dadra & Nagar Haveli & Daman & Diu,2023,3,396230,280334
Dadra & Nagar Haveli & Daman & Diu,2023,3,396210,130050
Dadra & Nagar Haveli & Daman & Diu,2023,3,396215,75883
Dadra & Nagar Haveli & Daman & Diu,2023,3,396235,61512
Dadra & Nagar Haveli & Daman & Diu,2023,3,362520,10090
Dadra & Nagar Haveli & Daman & Diu,2023,3,362571,5845
Dadra & Nagar Haveli & Daman & Diu,2023,3,362540,3309
Dadra & Nagar Haveli & Daman & Diu,2023,3,396220,1504
Dadra & Nagar Haveli & Daman & Diu,2023,3,362570,508
Dadra & Nagar Haveli & Daman & Diu,2023,4,396230,291092
Dadra & Nagar Haveli & Daman & Diu,2023,4,396210,134878
Dadra & Nagar Haveli & Daman & Diu,2023,4,396215,78882
Dadra & Nagar Haveli & Daman & Diu,2023,4,396235,63852
Dadra & Nagar Haveli & Daman & Diu,2023,4,362520,10454
Dadra & Nagar Haveli & Daman & Diu,2023,4,362571,6077
Dadra & Nagar Haveli & Daman & Diu,2023,4,362540,3436
Dadra & Nagar Haveli & Daman & Diu,2023,4,396220,1559
Dadra & Nagar Haveli & Daman & Diu,2023,4,362570,530
Delhi,2018,1,110059,95496
Delhi,2018,1,110092,83600
Delhi,2018,1,110085,61333
Delhi,2018,1,110086,59970
Delhi,2018,1,110044,55765
Delhi,2018,1,110096,50625
Delhi,2018,1,110041,47451
Delhi,2018,1,110043,46307
Delhi,2018,1,110084,44143
Delhi,2018,1,110042,42647
Delhi,2018,2,110059,124901
Delhi,2018,2,110092,108175
Delhi,2018,2,110086,79557
Delhi,2018,2,110085,79225
Delhi,2018,2,110044,73732
Delhi,2018,2,110096,66744
Delhi,2018,2,110041,63649
Delhi,2018,2,110043,60887
Delhi,2018,2,110084,57380
Delhi,2018,2,110042,56366
Delhi,2018,3,110059,156028
Delhi,2018,3,110092,136676
Delhi,2018,3,110085,101332
Delhi,2018,3,110086,100850
Delhi,2018,3,110044,91279
Delhi,2018,3,110096,84164
Delhi,2018,3,110041,80112
Delhi,2018,3,110043,74435
Delhi,2018,3,110084,71154
Delhi,2018,3,110042,71056
Delhi,2018,4,110059,206537
Delhi,2018,4,110092,177133
Delhi,2018,4,110086,133412
Delhi,2018,4,110085,132600
Delhi,2018,4,110044,121802
Delhi,2018,4,110096,114255
Delhi,2018,4,110041,106984
Delhi,2018,4,110043,98358
Delhi,2018,4,110042,95335
Delhi,2018,4,110094,94322
Delhi,2019,1,110059,246566
Delhi,2019,1,110092,206805
Delhi,2019,1,110086,158267
Delhi,2019,1,110085,152640
Delhi,2019,1,110044,145716
Delhi,2019,1,110096,135423
Delhi,2019,1,110041,129476
Delhi,2019,1,110043,117835
Delhi,2019,1,110094,114562
Delhi,2019,1,110042,113898
Delhi,2019,2,110059,274593
Delhi,2019,2,110092,228546
Delhi,2019,2,110086,177199
Delhi,2019,2,110085,167307
Delhi,2019,2,110044,162716
Delhi,2019,2,110096,150097
Delhi,2019,2,110041,146820
Delhi,2019,2,110043,131498
Delhi,2019,2,110094,130660
Delhi,2019,2,110042,129008
Delhi,2019,3,110059,300007
Delhi,2019,3,110092,248727
Delhi,2019,3,110086,194575
Delhi,2019,3,110085,180186
Delhi,2019,3,110044,178410
Delhi,2019,3,110096,164301
Delhi,2019,3,110041,163228
Delhi,2019,3,110001,148352
Delhi,2019,3,110094,146798
Delhi,2019,3,110043,144276
Delhi,2019,4,110059,320535
Delhi,2019,4,110092,264380
Delhi,2019,4,110086,209488
Delhi,2019,4,110044,192424
Delhi,2019,4,110085,189774
Delhi,2019,4,110041,177838
Delhi,2019,4,110096,176194
Delhi,2019,4,110094,161096
Delhi,2019,4,110001,160180
Delhi,2019,4,110053,156000
Delhi,2020,1,110059,342152
Delhi,2020,1,110092,280039
Delhi,2020,1,110086,226703
Delhi,2020,1,110044,207511
Delhi,2020,1,110085,200098
Delhi,2020,1,110041,194243
Delhi,2020,1,110096,187975
Delhi,2020,1,110094,175645
Delhi,2020,1,110001,171087
Delhi,2020,1,110053,170522
Delhi,2020,2,110059,365614
Delhi,2020,2,110092,295000
Delhi,2020,2,110086,246312
Delhi,2020,2,110044,223161
Delhi,2020,2,110041,211987
Delhi,2020,2,110085,211869
Delhi,2020,2,110096,199631
Delhi,2020,2,110094,192135
Delhi,2020,2,110053,186853
Delhi,2020,2,110042,186007
Delhi,2020,3,110059,393571
Delhi,2020,3,110092,314384
Delhi,2020,3,110086,267186
Delhi,2020,3,110044,240937
Delhi,2020,3,110041,231602
Delhi,2020,3,110085,225882
Delhi,2020,3,110096,213595
Delhi,2020,3,110094,210508
Delhi,2020,3,110053,205752
Delhi,2020,3,110042,202151
Delhi,2020,4,110059,423149
Delhi,2020,4,110092,335783
Delhi,2020,4,110086,288308
Delhi,2020,4,110044,259476
Delhi,2020,4,110041,252304
Delhi,2020,4,110085,241334
Delhi,2020,4,110094,230259
Delhi,2020,4,110096,228635
Delhi,2020,4,110053,226890
Delhi,2020,4,110042,219941
Delhi,2021,1,110059,454201
Delhi,2021,1,110092,359376
Delhi,2021,1,110086,310419
Delhi,2021,1,110044,278606
Delhi,2021,1,110041,272303
Delhi,2021,1,110085,257921
Delhi,2021,1,110094,248570
Delhi,2021,1,110053,245562
Delhi,2021,1,110096,245046
Delhi,2021,1,110042,237271
Delhi,2021,2,110059,485328
Delhi,2021,2,110092,383095
Delhi,2021,2,110086,332618
Delhi,2021,2,110044,297678
Delhi,2021,2,110041,291909
Delhi,2021,2,110085,275085
Delhi,2021,2,110094,266143
Delhi,2021,2,110053,262977
Delhi,2021,2,110096,261791
Delhi,2021,2,110042,254105
Delhi,2021,3,110059,520096
Delhi,2021,3,110092,409520
Delhi,2021,3,110086,357590
Delhi,2021,3,110044,319096
Delhi,2021,3,110041,314015
Delhi,2021,3,110085,293937
Delhi,2021,3,110094,285714
Delhi,2021,3,110053,282380
Delhi,2021,3,110096,280334
Delhi,2021,3,110042,273110
Delhi,2021,4,110059,555449
Delhi,2021,4,110092,436075
Delhi,2021,4,110086,382858
Delhi,2021,4,110044,340833
Delhi,2021,4,110041,336405
Delhi,2021,4,110085,312819
Delhi,2021,4,110094,305422
Delhi,2021,4,110053,301988
Delhi,2021,4,110096,299233
Delhi,2021,4,110042,292597
Delhi,2022,1,110059,588266
Delhi,2022,1,110092,460951
Delhi,2022,1,110086,406863
Delhi,2022,1,110044,361314
Delhi,2022,1,110041,357509
Delhi,2022,1,110085,330413
Delhi,2022,1,110094,324145
Delhi,2022,1,110053,320362
Delhi,2022,1,110096,316906
Delhi,2022,1,110042,310672
Delhi,2022,2,110059,619737
Delhi,2022,2,110092,484816
Delhi,2022,2,110086,429566
Delhi,2022,2,110044,381041
Delhi,2022,2,110041,377721
Delhi,2022,2,110085,347243
Delhi,2022,2,110094,341936
Delhi,2022,2,110053,337770
Delhi,2022,2,110096,333973
Delhi,2022,2,110042,328052
Delhi,2022,3,110059,652328
Delhi,2022,3,110092,509260
Delhi,2022,3,110086,453393
Delhi,2022,3,110044,401386
Delhi,2022,3,110041,398712
Delhi,2022,3,110085,364644
Delhi,2022,3,110094,360554
Delhi,2022,3,110053,356138
Delhi,2022,3,110096,351480
Delhi,2022,3,110042,346285
Delhi,2022,4,110059,685596
Delhi,2022,4,110092,534009
Delhi,2022,4,110086,477514
Delhi,2022,4,110044,422192
Delhi,2022,4,110041,419823
Delhi,2022,4,110085,382113
Delhi,2022,4,110094,379346
Delhi,2022,4,110053,374689
Delhi,2022,4,110096,369272
Delhi,2022,4,110042,364573
Delhi,2023,1,110059,716856
Delhi,2023,1,110092,557488
Delhi,2023,1,110086,500213
Delhi,2023,1,110044,441996
Delhi,2023,1,110041,439789
Delhi,2023,1,110085,398902
Delhi,2023,1,110094,397220
Delhi,2023,1,110053,392197
